,All_R2,All_RMSE,All_MAE,Generation_R2,Generation_RMSE,Generation_MAE,Generation_Correlation,Generation_NRMSE,Generation_MAPE,Effective_R2,Effective_RMSE,Effective_MAE,Generation_Sample_Count,Effective_Sample_Count,Model_Name
baseline,0.9852044927805624,0.18021802532786954,0.08107253255725254,0.9654081729682908,0.266758189997691,0.17520492068516033,0.9828527781571358,4.829909830528168,16748.719603239566,0.9648493299978786,0.2676219610274821,0.17624000095231016,2621,2604,baseline
original_nwp,0.9902504609238172,0.1462936042438256,0.06401454288557704,0.9772784155110615,0.21619732614691617,0.13760054665885696,0.9888700291395947,3.9144574751385637,4522.6826686643335,0.9768207849337184,0.2170621830559666,0.1386091952722185,2621,2600,original_nwp
downscaled_nwp,0.9899521898491415,0.14851455147691725,0.06468631688958273,0.9765767563052606,0.2195101113483694,0.1390814738603621,0.9885854504959588,3.9744385906614483,2650.452185916448,0.9760123400990391,0.22055698592227888,0.14028945839097698,2621,2596,downscaled_nwp
hybrid,0.9902984037898953,0.14593346525117476,0.06077862061885005,0.977391197326639,0.21566009557692317,0.1304669492314825,0.9894857442496997,3.9047304065477477,2704.278164952717,0.9768461070290092,0.21668935801925898,0.1315985647948928,2621,2596,hybrid
random_forest,0.989795844514605,0.14966554497544662,0.06559553326339836,0.9762089662224279,0.22122676486977363,0.14108584326437074,0.98906052732937,4.005520229499652,3391.2344003066373,0.9756366640811964,0.2222820701127396,0.14231179936406457,2621,2596,random_forest
