,RMSE,MAE,ME,Correlation,Accuracy,Qualification_Rate,MAPE,NRMSE,R2,Sample_Count,Model_Name
basic,0.48771723486248614,0.32426245671838744,-0.3111718762594125,0.3511158047949974,51.22827651375139,57.51295336787565,32.42624567183874,48.77172348624861,-1.0423226075113958,386,basic
original_nwp,0.4868609976829662,0.321319695786379,-0.31146479887548295,0.35683442431575463,51.31390023170338,57.36434108527132,32.1319695786379,48.68609976829662,-1.0287314601383262,387,original_nwp
downscaled_nwp,0.4874826034631005,0.3214528643447519,-0.3126925087395377,0.35576595307460784,51.251739653689945,57.2538860103627,32.14528643447519,48.748260346310055,-1.0403580358382314,386,downscaled_nwp
hybrid,0.4868614264208204,0.32071940306134006,-0.31237372854481243,0.35794974396619983,51.31385735791796,57.36434108527132,32.071940306134,48.68614264208204,-1.0287350328462068,387,hybrid
ensemble_rf,0.487429701101721,0.3214097087704437,-0.30981879621567937,0.35304615257659727,51.2570298898279,57.2538860103627,32.140970877044374,48.7429701101721,-1.0399152143674657,386,ensemble_rf
