,RMSE,MAE,ME,Correlation,Accuracy,Qualification_Rate,Sample_Count
basic,0.2820443435860697,0.15999121959328252,-0.15523039710857334,0.36916547492007706,71.79556564139303,72.88428324697755,579.0
original_nwp,0.3040715918021659,0.1856569918060123,-0.1809278333645861,0.3332946663048796,69.5928408197834,68.47389558232932,498.0
downscaled_nwp,0.3014791952274974,0.1954176535830672,-0.17519330742034503,0.27377640948230786,69.85208047725027,68.36158192090396,531.0
hybrid,0.30844849093543,0.19125203278619457,-0.1867598932740811,0.32463209189020265,69.15515090645701,67.56198347107438,484.0
ensemble_rf,0.34228980648064355,0.23519213464249725,-0.22803504326332166,0.2433648807700244,65.77101935193565,60.05089058524173,393.0
