,RMSE,MAE,R2,Correlation,NRMSE,MAPE,Accuracy,Sample_Count,Model_Name
linear_baseline,2.102988778355657,1.4787177471157835,-1.3754426019685777,0.23247698977146625,49.97354639546127,10064.89755077724,50.02645360453872,385,linear_baseline
original_nwp,2.1017336720590074,1.4688584168791283,-1.3726080235742972,0.23198285935980328,49.943721170813184,15857.624893968983,50.056278829186816,385,original_nwp
downscaled_nwp,2.1016481108091964,1.4639760598550078,-1.372414850501618,0.23550836272333514,49.94168796971811,19558.417155589257,50.05831203028188,385,downscaled_nwp
hybrid,2.101688929774664,1.46531724838619,-1.372507007185495,0.23353293209836362,49.942657955143424,13733.527902966089,50.05734204485657,385,hybrid
random_forest,2.1012342839799945,1.4601255431831686,-1.3714806577106748,0.2364317321040165,49.93185415868609,12624.880367891616,50.068145841313914,385,random_forest
