站点,RMSE,MAE,相关系数,准确率(%),合格率(%),样本数
station00,0.056496,0.026659,0.9697,94.35,98.45,386
station04,0.069329,0.028755,0.9599,93.07,97.47,396
station05,0.051766,0.024024,0.9795,94.82,98.77,405
station09,0.053350,0.028684,0.9758,94.67,98.76,402
