起报时间,预报时间,实际功率 (MW),station00 预测功率 (MW)
2023/02/21/00:00,2023/02/21/00:00,0,0.8816349412454035
2023/02/21/00:00,2023/02/21/00:15,0,1.1887878423766494
2023/02/21/00:00,2023/02/21/00:30,0,1.003376556722438
2023/02/21/00:00,2023/02/21/00:45,0,1.2672942500838336
2023/02/21/00:00,2023/02/21/01:00,0,1.4753037395562514
2023/02/21/00:00,2023/02/21/01:15,0,1.1338574783685438
2023/02/21/00:00,2023/02/21/01:30,0,1.7958840862255647
2023/02/21/00:00,2023/02/21/01:45,0,1.737515206902579
2023/02/21/00:00,2023/02/21/02:00,0,1.6580197893831263
2023/02/21/00:00,2023/02/21/02:15,0,2.160130321417974
2023/02/21/00:00,2023/02/21/02:30,0,2.0308762824731605
2023/02/21/00:00,2023/02/21/02:45,0,2.0931878386863136
2023/02/21/00:00,2023/02/21/03:00,0,2.130481247758838
2023/02/21/00:00,2023/02/21/03:15,0,2.8155805530372717
2023/02/21/00:00,2023/02/21/03:30,0,2.3351928261736266
2023/02/21/00:00,2023/02/21/03:45,0,2.93511948748707
2023/02/21/00:00,2023/02/21/04:00,0,3.401202865874644
2023/02/21/00:00,2023/02/21/04:15,0,2.563464423730827
2023/02/21/00:00,2023/02/21/04:30,0,3.4586400482756656
2023/02/21/00:00,2023/02/21/04:45,0,2.6517953169367705
2023/02/21/00:00,2023/02/21/05:00,0,2.2099688624181617
2023/02/21/00:00,2023/02/21/05:15,0,2.078168068273444
2023/02/21/00:00,2023/02/21/05:30,0,3.3957651789672627
2023/02/21/00:00,2023/02/21/05:45,0,2.2028860909427177
2023/02/21/00:00,2023/02/21/06:00,0,1.56663757624904
2023/02/21/00:00,2023/02/21/06:15,0,1.925219432993676
2023/02/21/00:00,2023/02/21/06:30,0,2.904487160631972
2023/02/21/00:00,2023/02/21/06:45,0,2.8243213740528947
2023/02/21/00:00,2023/02/21/07:00,0,1.863095042724989
2023/02/21/00:00,2023/02/21/07:15,0,1.954191481653498
2023/02/21/00:00,2023/02/21/07:30,0,1.7654360497303618
2023/02/21/00:00,2023/02/21/07:45,0,1.991624968662302
2023/02/21/00:00,2023/02/21/08:00,0,0.9787299339517566
2023/02/21/00:00,2023/02/21/08:15,0,0.9787027615924098
2023/02/21/00:00,2023/02/21/08:30,0,0.8369972696809359
2023/02/21/00:00,2023/02/21/08:45,0,0.992826385961675
2023/02/21/00:00,2023/02/21/09:00,0,0.2769836844150776
2023/02/21/00:00,2023/02/21/09:15,0,0.4164930205395541
