起报时间,预报时间,实际功率 (MW),station04 预测功率 (MW)
2023/02/21/00:00,2023/02/21/00:00,0,6.266483231412393
2023/02/21/00:00,2023/02/21/00:15,0,7.702809736403111
2023/02/21/00:00,2023/02/21/00:30,0,6.817342448312639
2023/02/21/00:00,2023/02/21/00:45,0,6.916645890455582
2023/02/21/00:00,2023/02/21/01:00,0,11.584492067338356
2023/02/21/00:00,2023/02/21/01:15,0,9.32845861236842
2023/02/21/00:00,2023/02/21/01:30,0,9.967610658287525
2023/02/21/00:00,2023/02/21/01:45,0,10.99563681567335
2023/02/21/00:00,2023/02/21/02:00,0,13.088515882072016
2023/02/21/00:00,2023/02/21/02:15,0,13.639464017184526
2023/02/21/00:00,2023/02/21/02:30,0,11.430828360932516
2023/02/21/00:00,2023/02/21/02:45,0,9.76549532494193
2023/02/21/00:00,2023/02/21/03:00,0,13.84777799714102
2023/02/21/00:00,2023/02/21/03:15,0,11.234708320588316
2023/02/21/00:00,2023/02/21/03:30,0,12.925890953635196
2023/02/21/00:00,2023/02/21/03:45,0,15.083426133565364
2023/02/21/00:00,2023/02/21/04:00,0,15.72057389776679
2023/02/21/00:00,2023/02/21/04:15,0,12.539279486700362
2023/02/21/00:00,2023/02/21/04:30,0,11.995386840898346
2023/02/21/00:00,2023/02/21/04:45,0,16.60538555574908
2023/02/21/00:00,2023/02/21/05:00,0,12.210962660371276
2023/02/21/00:00,2023/02/21/05:15,0,10.750297017995903
2023/02/21/00:00,2023/02/21/05:30,0,16.204586340918524
2023/02/21/00:00,2023/02/21/05:45,0,11.710542375349927
2023/02/21/00:00,2023/02/21/06:00,0,10.308653784644244
2023/02/21/00:00,2023/02/21/06:15,0,11.495431221340368
2023/02/21/00:00,2023/02/21/06:30,0,13.540789659571452
2023/02/21/00:00,2023/02/21/06:45,0,10.987373758410868
2023/02/21/00:00,2023/02/21/07:00,0,9.1578937222682
2023/02/21/00:00,2023/02/21/07:15,0,9.751223020915509
2023/02/21/00:00,2023/02/21/07:30,0,7.379966843786464
2023/02/21/00:00,2023/02/21/07:45,0,7.702871000636745
2023/02/21/00:00,2023/02/21/08:00,0,6.152249175528452
2023/02/21/00:00,2023/02/21/08:15,0,4.316268193280735
2023/02/21/00:00,2023/02/21/08:30,0,4.728706550240903
2023/02/21/00:00,2023/02/21/08:45,0,3.879048365856674
2023/02/21/00:00,2023/02/21/09:00,0,0.8941906572606236
2023/02/21/00:00,2023/02/21/09:15,0,1.5454170036684634
2023/02/21/00:00,2023/02/21/09:30,0,2.577692467090008
2023/02/21/00:00,2023/02/21/09:45,0,1.5924237807178685
2023/02/21/00:00,2023/02/21/10:00,0,0.2854882658121792
2023/02/21/00:00,2023/02/21/10:15,0,0.5579810673141741
2023/02/21/00:00,2023/02/21/10:30,0,0.3210445483165761
2023/02/21/00:00,2023/02/21/10:45,0,0.285013608552774
2023/02/21/00:00,2023/02/21/11:00,0,0.0
2023/02/21/00:00,2023/02/21/11:15,0,0.0
2023/02/21/00:00,2023/02/21/11:30,0,0.0
2023/02/21/00:00,2023/02/21/11:45,0,0.0
2023/02/21/00:00,2023/02/21/12:00,0,0.0
2023/02/21/00:00,2023/02/21/12:15,0,0.0
2023/02/21/00:00,2023/02/21/12:30,0,0.0
2023/02/21/00:00,2023/02/21/12:45,0,0.0
2023/02/21/00:00,2023/02/21/13:00,0,0.0
2023/02/21/00:00,2023/02/21/13:15,0,0.0
2023/02/21/00:00,2023/02/21/13:30,0,0.0
2023/02/21/00:00,2023/02/21/13:45,0,0.0
2023/02/21/00:00,2023/02/21/14:00,0,0.0
2023/02/21/00:00,2023/02/21/14:15,0,0.0
2023/02/21/00:00,2023/02/21/14:30,0,0.0
2023/02/21/00:00,2023/02/21/14:45,0,0.0
2023/02/21/00:00,2023/02/21/15:00,0,0.0
2023/02/21/00:00,2023/02/21/15:15,0,0.0
2023/02/21/00:00,2023/02/21/15:30,0,0.0
2023/02/21/00:00,2023/02/21/15:45,0,0.0
2023/02/21/00:00,2023/02/21/16:00,0,0.0
2023/02/21/00:00,2023/02/21/16:15,0,0.0
2023/02/21/00:00,2023/02/21/16:30,0,0.0
2023/02/21/00:00,2023/02/21/16:45,0,0.0
2023/02/21/00:00,2023/02/21/17:00,0,0.0
2023/02/21/00:00,2023/02/21/17:15,0,0.0
2023/02/21/00:00,2023/02/21/17:30,0,0.0
2023/02/21/00:00,2023/02/21/17:45,0,0.0
2023/02/21/00:00,2023/02/21/18:00,0,0.0
2023/02/21/00:00,2023/02/21/18:15,0,0.0
2023/02/21/00:00,2023/02/21/18:30,0,0.0
2023/02/21/00:00,2023/02/21/18:45,0,0.0
2023/02/21/00:00,2023/02/21/19:00,0,0.0
2023/02/21/00:00,2023/02/21/19:15,0,0.0
2023/02/21/00:00,2023/02/21/19:30,0,0.0
2023/02/21/00:00,2023/02/21/19:45,0,0.0
2023/02/21/00:00,2023/02/21/20:00,0,0.0
2023/02/21/00:00,2023/02/21/20:15,0,0.0
2023/02/21/00:00,2023/02/21/20:30,0,0.0
2023/02/21/00:00,2023/02/21/20:45,0,0.0
2023/02/21/00:00,2023/02/21/21:00,0,0.0
2023/02/21/00:00,2023/02/21/21:15,0,0.0
2023/02/21/00:00,2023/02/21/21:30,0,0.0
2023/02/21/00:00,2023/02/21/21:45,0,0.0
2023/02/21/00:00,2023/02/21/22:00,0,0.6110652226777556
2023/02/21/00:00,2023/02/21/22:15,0,0.5977524301777025
2023/02/21/00:00,2023/02/21/22:30,0,0.548684431438963
2023/02/21/00:00,2023/02/21/22:45,0,0.3353422707698075
2023/02/21/00:00,2023/02/21/23:00,0,2.750514899244304
2023/02/21/00:00,2023/02/21/23:15,0,2.4500848720456943
2023/02/21/00:00,2023/02/21/23:30,0,2.3994928855645465
2023/02/21/00:00,2023/02/21/23:45,0,3.0432387623592887
2023/02/21/00:00,2023/02/22/00:00,0,7.418256014296912
2023/02/21/00:00,2023/02/22/00:15,0,7.8069774215148655
2023/02/21/00:00,2023/02/22/00:30,0,7.212575987824976
2023/02/21/00:00,2023/02/22/00:45,0,5.305969517100116
2023/02/21/00:00,2023/02/22/01:00,0,10.288591509928068
2023/02/21/00:00,2023/02/22/01:15,0,11.582143444084398
2023/02/21/00:00,2023/02/22/01:30,0,10.888472801778612
2023/02/21/00:00,2023/02/22/01:45,0,8.893111478576625
2023/02/21/00:00,2023/02/22/02:00,0,12.64040852612602
2023/02/21/00:00,2023/02/22/02:15,0,13.103736523638872
2023/02/21/00:00,2023/02/22/02:30,0,10.407566784776542
2023/02/21/00:00,2023/02/22/02:45,0,14.93442677554066
2023/02/21/00:00,2023/02/22/03:00,0,17.632242525354734
2023/02/21/00:00,2023/02/22/03:15,0,16.153609825520014
2023/02/21/00:00,2023/02/22/03:30,0,17.634303694883556
2023/02/21/00:00,2023/02/22/03:45,0,15.569654585705637
2023/02/21/00:00,2023/02/22/04:00,0,12.879776503381889
2023/02/21/00:00,2023/02/22/04:15,0,16.987677458074003
2023/02/21/00:00,2023/02/22/04:30,0,15.081312640595604
2023/02/21/00:00,2023/02/22/04:45,0,11.757285567234192
2023/02/21/00:00,2023/02/22/05:00,0,11.481292019518804
2023/02/21/00:00,2023/02/22/05:15,0,17.189374282592304
2023/02/21/00:00,2023/02/22/05:30,0,18.22472860232333
2023/02/21/00:00,2023/02/22/05:45,0,13.723015962219998
2023/02/21/00:00,2023/02/22/06:00,0,14.296870431361045
2023/02/21/00:00,2023/02/22/06:15,0,11.538455928945304
2023/02/21/00:00,2023/02/22/06:30,0,11.733409188904636
2023/02/21/00:00,2023/02/22/06:45,0,11.117470860524271
2023/02/21/00:00,2023/02/22/07:00,0,7.335650657799098
2023/02/21/00:00,2023/02/22/07:15,0,6.981190832045532
2023/02/21/00:00,2023/02/22/07:30,0,9.157835247979992
2023/02/21/00:00,2023/02/22/07:45,0,8.235177545924383
2023/02/21/00:00,2023/02/22/08:00,0,3.462057782478262
2023/02/21/00:00,2023/02/22/08:15,0,4.790268343687635
2023/02/21/00:00,2023/02/22/08:30,0,5.00235055671577
2023/02/21/00:00,2023/02/22/08:45,0,4.659189222989439
2023/02/21/00:00,2023/02/22/09:00,0,0.4466619457883307
2023/02/21/00:00,2023/02/22/09:15,0,1.9904299181811185
2023/02/21/00:00,2023/02/22/09:30,0,1.2723761996244607
2023/02/21/00:00,2023/02/22/09:45,0,2.116234917925972
2023/02/21/00:00,2023/02/22/10:00,0,0.3238894554752591
2023/02/21/00:00,2023/02/22/10:15,0,0.4144003680648811
2023/02/21/00:00,2023/02/22/10:30,0,0.5146408102662487
2023/02/21/00:00,2023/02/22/10:45,0,0.3239954000886377
2023/02/21/00:00,2023/02/22/11:00,0,0.0
2023/02/21/00:00,2023/02/22/11:15,0,0.0
2023/02/21/00:00,2023/02/22/11:30,0,0.0
2023/02/21/00:00,2023/02/22/11:45,0,0.0
2023/02/21/00:00,2023/02/22/12:00,0,0.0
2023/02/21/00:00,2023/02/22/12:15,0,0.0
2023/02/21/00:00,2023/02/22/12:30,0,0.0
2023/02/21/00:00,2023/02/22/12:45,0,0.0
2023/02/21/00:00,2023/02/22/13:00,0,0.0
2023/02/21/00:00,2023/02/22/13:15,0,0.0
2023/02/21/00:00,2023/02/22/13:30,0,0.0
2023/02/21/00:00,2023/02/22/13:45,0,0.0
2023/02/21/00:00,2023/02/22/14:00,0,0.0
2023/02/21/00:00,2023/02/22/14:15,0,0.0
2023/02/21/00:00,2023/02/22/14:30,0,0.0
2023/02/21/00:00,2023/02/22/14:45,0,0.0
2023/02/21/00:00,2023/02/22/15:00,0,0.0
2023/02/21/00:00,2023/02/22/15:15,0,0.0
