起报时间,预报时间,实际功率(MW),XGBoost 预测功率(MW),误差
2019/06/07/00:00,2019/06/07/08:30,1.793235,1.945574753092381,0.1523397530923811
2019/06/07/00:00,2019/06/07/08:45,1.355725,1.3494869025633525,-0.0062380974366476
2019/06/07/00:00,2019/06/07/09:00,1.251308,1.2884434138157428,0.0371354138157427
2019/06/07/00:00,2019/06/07/09:15,1.257825,1.5277551574102557,0.2699301574102557
2019/06/07/00:00,2019/06/07/09:30,0.895961,0.9476708159883276,0.0517098159883274
2019/06/07/00:00,2019/06/07/09:45,0.64958,0.4937863529447788,-0.1557936470552212
2019/06/07/00:00,2019/06/07/10:00,0.656119,0.7226325453697768,0.0665135453697768
2019/06/07/00:00,2019/06/07/10:15,0.570804,0.5559152283000657,-0.0148887716999343
2019/06/07/00:00,2019/06/07/10:30,0.396073,0.4811378191647105,0.0850648191647105
2019/06/07/00:00,2019/06/07/10:45,0.231343,0.2143923350258333,-0.0169506649741666
2019/06/07/00:00,2019/06/07/11:00,0.110342,0.0,-0.110342
2019/06/07/00:00,2019/06/07/11:15,0.004193,0.0,-0.004193
2019/06/07/00:00,2019/06/07/11:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/11:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/12:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/12:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/12:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/12:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/13:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/13:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/13:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/13:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/14:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/14:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/14:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/14:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/15:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/15:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/15:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/15:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/16:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/16:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/16:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/16:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/17:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/17:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/17:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/17:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/18:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/18:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/18:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/18:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/19:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/19:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/19:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/19:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/20:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/20:15,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/20:30,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/20:45,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/21:00,0.0,0.0,0.0
2019/06/07/00:00,2019/06/07/21:15,0.0590269999999999,0.0,-0.0590269999999999
2019/06/07/00:00,2019/06/07/21:30,0.222009,0.0,-0.222009
2019/06/07/00:00,2019/06/07/21:45,0.4488569999999999,0.0,-0.4488569999999999
2019/06/07/00:00,2019/06/07/22:00,0.6452600000000001,0.7497278235754337,0.1044678235754336
2019/06/07/00:00,2019/06/07/22:15,0.8903780000000001,0.8579367029069644,-0.0324412970930356
2019/06/07/00:00,2019/06/07/22:30,1.1984780000000002,1.0134195432613404,-0.1850584567386597
2019/06/07/00:00,2019/06/07/22:45,1.610901,1.7864589955505283,0.1755579955505284
2019/06/07/00:00,2019/06/07/23:00,2.099163,2.191668997239999,0.092505997239999
2019/06/07/00:00,2019/06/07/23:15,2.71612,2.687155554481485,-0.0289644455185151
2019/06/07/00:00,2019/06/07/23:30,3.409869,4.095543126433284,0.6856741264332844
2019/06/07/00:00,2019/06/07/23:45,4.154408,3.704428262351084,-0.4499797376489165
2019/06/08/00:00,2019/06/08/00:00,4.885473,4.890634316250473,0.0051613162504731
2019/06/08/00:00,2019/06/08/00:15,5.622421,6.41798743711277,0.79556643711277
2019/06/08/00:00,2019/06/08/00:30,6.3505400000000005,6.189468443851804,-0.1610715561481965
2019/06/08/00:00,2019/06/08/00:45,6.922671,6.856916874522344,-0.0657541254776559
2019/06/08/00:00,2019/06/08/01:00,7.722318,7.028855214637724,-0.6934627853622759
2019/06/08/00:00,2019/06/08/01:15,8.27397035,7.982927780665713,-0.2910425693342882
2019/06/08/00:00,2019/06/08/01:30,8.27397035,9.267480567576513,0.993510217576512
2019/06/08/00:00,2019/06/08/01:45,8.27397035,8.327079473475138,0.0531091234751368
2019/06/08/00:00,2019/06/08/02:00,8.27397035,7.91842434508425,-0.3555460049157508
2019/06/08/00:00,2019/06/08/02:15,8.27397035,8.588937565184015,0.3149672151840139
2019/06/08/00:00,2019/06/08/02:30,8.27397035,8.691721570472454,0.4177512204724536
2019/06/08/00:00,2019/06/08/02:45,8.27397035,8.357116009513488,0.0831456595134874
2019/06/08/00:00,2019/06/08/03:00,8.27397035,8.796023300314307,0.5220529503143059
2019/06/08/00:00,2019/06/08/03:15,8.27397035,8.170407692067785,-0.1035626579322155
2019/06/08/00:00,2019/06/08/03:30,8.27397035,7.493037552445891,-0.7809327975541098
2019/06/08/00:00,2019/06/08/03:45,8.27397035,8.894500345619779,0.6205299956197781
2019/06/08/00:00,2019/06/08/04:00,8.27397035,8.210657074530054,-0.0633132754699463
2019/06/08/00:00,2019/06/08/04:15,8.27397035,8.818383587686402,0.5444132376864008
2019/06/08/00:00,2019/06/08/04:30,8.27397035,8.59690020721939,0.322929857219389
2019/06/08/00:00,2019/06/08/04:45,8.27397035,8.492251686870933,0.2182813368709322
2019/06/08/00:00,2019/06/08/05:00,8.27397035,8.348693772258017,0.0747234222580157
2019/06/08/00:00,2019/06/08/05:15,8.27397035,8.873254976460665,0.5992846264606637
2019/06/08/00:00,2019/06/08/05:30,8.27397035,7.928884198266241,-0.34508615173376
2019/06/08/00:00,2019/06/08/05:45,8.27397035,7.328284548073932,-0.9456858019260688
2019/06/08/00:00,2019/06/08/06:00,8.27397035,8.35459964810235,0.0806292981023499
2019/06/08/00:00,2019/06/08/06:15,8.27397035,8.326132482442874,0.0521621324428736
2019/06/08/00:00,2019/06/08/06:30,8.27397035,7.901303789287688,-0.3726665607123127
2019/06/08/00:00,2019/06/08/06:45,8.27397035,7.33072031911114,-0.9432500308888604
2019/06/08/00:00,2019/06/08/07:00,8.27397035,8.037283423628251,-0.2366869263717497
2019/06/08/00:00,2019/06/08/07:15,8.163317,8.872251024564338,0.7089340245643392
2019/06/08/00:00,2019/06/08/07:30,7.520296000000001,8.012586549936206,0.4922905499362047
2019/06/08/00:00,2019/06/08/07:45,6.894477,6.69251717852234,-0.2019598214776605
2019/06/08/00:00,2019/06/08/08:00,6.486962999999999,6.484277406569294,-0.002685593430705
2019/06/08/00:00,2019/06/08/08:15,5.456038,5.494667552538923,0.0386295525389224
2019/06/08/00:00,2019/06/08/08:30,5.080485,4.509622112560993,-0.5708628874390076
2019/06/08/00:00,2019/06/08/08:45,1.745855,1.902836140828168,0.1569811408281678
2019/06/08/00:00,2019/06/08/09:00,3.598158,3.733122452567797,0.1349644525677966
2019/06/08/00:00,2019/06/08/09:15,2.862124,2.2834194137996136,-0.5787045862003866
2019/06/08/00:00,2019/06/08/09:30,2.240648,1.402926802535562,-0.8377211974644383
2019/06/08/00:00,2019/06/08/09:45,1.652516,1.808818008395588,0.1563020083955875
2019/06/08/00:00,2019/06/08/10:00,1.1773209999999998,1.1316004911851931,-0.0457205088148067
2019/06/08/00:00,2019/06/08/10:15,0.819315,0.7413662599978802,-0.0779487400021198
2019/06/08/00:00,2019/06/08/10:30,0.592448,0.5703433611243401,-0.0221046388756598
2019/06/08/00:00,2019/06/08/10:45,0.438893,0.3811888506167029,-0.0577041493832971
2019/06/08/00:00,2019/06/08/11:00,0.290044,0.0,-0.290044
2019/06/08/00:00,2019/06/08/11:15,0.13141,0.0,-0.13141
2019/06/08/00:00,2019/06/08/11:30,0.005362,0.0,-0.005362
2019/06/08/00:00,2019/06/08/11:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/12:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/12:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/12:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/12:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/13:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/13:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/13:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/13:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/14:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/14:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/14:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/14:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/15:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/15:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/15:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/15:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/16:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/16:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/16:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/16:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/17:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/17:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/17:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/17:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/18:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/18:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/18:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/18:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/19:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/19:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/19:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/19:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/20:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/20:15,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/20:30,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/20:45,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/21:00,0.0,0.0,0.0
2019/06/08/00:00,2019/06/08/21:15,0.044485,0.0,-0.044485
2019/06/08/00:00,2019/06/08/21:30,0.159122,0.0,-0.159122
2019/06/08/00:00,2019/06/08/21:45,0.290511,0.0,-0.290511
2019/06/08/00:00,2019/06/08/22:00,0.38686,0.4467681549867606,0.0599081549867606
2019/06/08/00:00,2019/06/08/22:15,0.4952189999999999,0.3526656649043747,-0.1425533350956251
2019/06/08/00:00,2019/06/08/22:30,0.780334,0.8021413851867959,0.0218073851867959
2019/06/08/00:00,2019/06/08/22:45,1.287504,1.1278339093847582,-0.1596700906152417
2019/06/08/00:00,2019/06/08/23:00,1.965827,2.1156622906360414,0.1498352906360414
2019/06/08/00:00,2019/06/08/23:15,2.724181,3.042443303889685,0.3182623038896852
2019/06/08/00:00,2019/06/08/23:30,3.550113,3.2143612722087638,-0.3357517277912367
2019/06/08/00:00,2019/06/08/23:45,4.314699,4.638656001516487,0.3239570015164865
2019/06/09/00:00,2019/06/09/00:00,5.064215,5.368771430384832,0.3045564303848316
2019/06/09/00:00,2019/06/09/00:15,5.825693,5.8738058721378845,0.0481128721378842
2019/06/09/00:00,2019/06/09/00:30,6.539441,6.448820242149425,-0.0906207578505746
2019/06/09/00:00,2019/06/09/00:45,7.173991,7.57295835127479,0.3989673512747895
2019/06/09/00:00,2019/06/09/01:00,7.852529,8.829039030980532,0.976510030980532
2019/06/09/00:00,2019/06/09/01:15,8.27397035,8.164435506360627,-0.1095348436393734
2019/06/09/00:00,2019/06/09/01:30,8.27397035,9.03028618869537,0.7563158386953699
2019/06/09/00:00,2019/06/09/01:45,8.27397035,6.307529653810106,-1.9664406961898944
2019/06/09/00:00,2019/06/09/02:00,8.27397035,8.51367709388778,0.2397067438877798
2019/06/09/00:00,2019/06/09/02:15,8.27397035,8.513734905072756,0.2397645550727549
2019/06/09/00:00,2019/06/09/02:30,8.27397035,7.55776721483527,-0.7162031351647311
2019/06/09/00:00,2019/06/09/02:45,8.27397035,8.916140392789977,0.6421700427899761
2019/06/09/00:00,2019/06/09/03:00,8.27397035,8.368392806883875,0.0944224568838745
