起报时间,预报时间,实际功率 (MW),station09 预测功率 (MW)
2023/02/21/00:00,2023/02/21/00:00,0,1.3257734412914963
2023/02/21/00:00,2023/02/21/00:15,0,0.5233779431791578
2023/02/21/00:00,2023/02/21/00:30,0,1.40850512047703
2023/02/21/00:00,2023/02/21/00:45,0,0.608929738126179
2023/02/21/00:00,2023/02/21/01:00,0,2.249432934896925
2023/02/21/00:00,2023/02/21/01:15,0,2.713163845629385
2023/02/21/00:00,2023/02/21/01:30,0,2.372675382776467
2023/02/21/00:00,2023/02/21/01:45,0,3.351369967100939
2023/02/21/00:00,2023/02/21/02:00,0,3.5239583821628804
2023/02/21/00:00,2023/02/21/02:15,0,2.999918658887816
2023/02/21/00:00,2023/02/21/02:30,0,3.720290549703471
2023/02/21/00:00,2023/02/21/02:45,0,4.571285259164944
2023/02/21/00:00,2023/02/21/03:00,0,3.904256954223412
2023/02/21/00:00,2023/02/21/03:15,0,3.3073691861412478
2023/02/21/00:00,2023/02/21/03:30,0,3.997076816671065
2023/02/21/00:00,2023/02/21/03:45,0,4.581342736165594
2023/02/21/00:00,2023/02/21/04:00,0,3.395414804418761
2023/02/21/00:00,2023/02/21/04:15,0,4.933480667793266
2023/02/21/00:00,2023/02/21/04:30,0,4.407823952865597
2023/02/21/00:00,2023/02/21/04:45,0,4.4807090910348695
2023/02/21/00:00,2023/02/21/05:00,0,4.46537671294513
2023/02/21/00:00,2023/02/21/05:15,0,3.865375448801321
2023/02/21/00:00,2023/02/21/05:30,0,4.872481229599551
2023/02/21/00:00,2023/02/21/05:45,0,4.070657371153002
2023/02/21/00:00,2023/02/21/06:00,0,4.731733145621538
2023/02/21/00:00,2023/02/21/06:15,0,4.262999859509668
2023/02/21/00:00,2023/02/21/06:30,0,3.0642543035970187
2023/02/21/00:00,2023/02/21/06:45,0,3.977714428480649
2023/02/21/00:00,2023/02/21/07:00,0,2.785170700178212
2023/02/21/00:00,2023/02/21/07:15,0,3.30840058448403
2023/02/21/00:00,2023/02/21/07:30,0,2.295178897975009
2023/02/21/00:00,2023/02/21/07:45,0,2.859145890167248
2023/02/21/00:00,2023/02/21/08:00,0,0.4755112694710222
2023/02/21/00:00,2023/02/21/08:15,0,1.7273477841544789
2023/02/21/00:00,2023/02/21/08:30,0,0.4701870796625236
2023/02/21/00:00,2023/02/21/08:45,0,1.676378785584606
2023/02/21/00:00,2023/02/21/09:00,0,0.669567911193753
2023/02/21/00:00,2023/02/21/09:15,0,0.5200185002075783
2023/02/21/00:00,2023/02/21/09:30,0,0.5212130216264896
2023/02/21/00:00,2023/02/21/09:45,0,0.2975756265959197
2023/02/21/00:00,2023/02/21/10:00,0,0.0345116193992893
2023/02/21/00:00,2023/02/21/10:15,0,0.029587563276031
2023/02/21/00:00,2023/02/21/10:30,0,0.004234660300157
2023/02/21/00:00,2023/02/21/10:45,0,0.0
2023/02/21/00:00,2023/02/21/11:00,0,0.0
2023/02/21/00:00,2023/02/21/11:15,0,0.0
2023/02/21/00:00,2023/02/21/11:30,0,0.0
2023/02/21/00:00,2023/02/21/11:45,0,0.0
2023/02/21/00:00,2023/02/21/12:00,0,0.0
2023/02/21/00:00,2023/02/21/12:15,0,0.0
2023/02/21/00:00,2023/02/21/12:30,0,0.0
2023/02/21/00:00,2023/02/21/12:45,0,0.0
2023/02/21/00:00,2023/02/21/13:00,0,0.0
2023/02/21/00:00,2023/02/21/13:15,0,0.0
2023/02/21/00:00,2023/02/21/13:30,0,0.0
2023/02/21/00:00,2023/02/21/13:45,0,0.0
2023/02/21/00:00,2023/02/21/14:00,0,0.0
2023/02/21/00:00,2023/02/21/14:15,0,0.0
2023/02/21/00:00,2023/02/21/14:30,0,0.0
2023/02/21/00:00,2023/02/21/14:45,0,0.0
2023/02/21/00:00,2023/02/21/15:00,0,0.0
2023/02/21/00:00,2023/02/21/15:15,0,0.0
2023/02/21/00:00,2023/02/21/15:30,0,0.0
2023/02/21/00:00,2023/02/21/15:45,0,0.0
2023/02/21/00:00,2023/02/21/16:00,0,0.0
2023/02/21/00:00,2023/02/21/16:15,0,0.0
