forecast_time,predicted_power,start_time
2023-02-21 00:00:00,6.266483231412393,2023-02-21
2023-02-21 00:15:00,7.702809736403111,2023-02-21
2023-02-21 00:30:00,6.817342448312639,2023-02-21
2023-02-21 00:45:00,6.916645890455582,2023-02-21
2023-02-21 01:00:00,11.584492067338356,2023-02-21
2023-02-21 01:15:00,9.328458612368419,2023-02-21
2023-02-21 01:30:00,9.967610658287525,2023-02-21
2023-02-21 01:45:00,10.99563681567335,2023-02-21
2023-02-21 02:00:00,13.088515882072015,2023-02-21
2023-02-21 02:15:00,13.639464017184526,2023-02-21
2023-02-21 02:30:00,11.430828360932516,2023-02-21
2023-02-21 02:45:00,9.76549532494193,2023-02-21
2023-02-21 03:00:00,13.84777799714102,2023-02-21
2023-02-21 03:15:00,11.234708320588316,2023-02-21
2023-02-21 03:30:00,12.925890953635196,2023-02-21
2023-02-21 03:45:00,15.083426133565363,2023-02-21
2023-02-21 04:00:00,15.72057389776679,2023-02-21
2023-02-21 04:15:00,12.539279486700362,2023-02-21
2023-02-21 04:30:00,11.995386840898346,2023-02-21
2023-02-21 04:45:00,16.60538555574908,2023-02-21
2023-02-21 05:00:00,12.210962660371276,2023-02-21
2023-02-21 05:15:00,10.750297017995903,2023-02-21
2023-02-21 05:30:00,16.204586340918524,2023-02-21
2023-02-21 05:45:00,11.710542375349927,2023-02-21
2023-02-21 06:00:00,10.308653784644244,2023-02-21
2023-02-21 06:15:00,11.495431221340368,2023-02-21
2023-02-21 06:30:00,13.540789659571452,2023-02-21
2023-02-21 06:45:00,10.987373758410868,2023-02-21
2023-02-21 07:00:00,9.157893722268199,2023-02-21
2023-02-21 07:15:00,9.751223020915507,2023-02-21
2023-02-21 07:30:00,7.379966843786464,2023-02-21
2023-02-21 07:45:00,7.702871000636745,2023-02-21
2023-02-21 08:00:00,6.152249175528452,2023-02-21
2023-02-21 08:15:00,4.3162681932807345,2023-02-21
2023-02-21 08:30:00,4.7287065502409025,2023-02-21
2023-02-21 08:45:00,3.879048365856674,2023-02-21
2023-02-21 09:00:00,0.8941906572606236,2023-02-21
2023-02-21 09:15:00,1.5454170036684634,2023-02-21
2023-02-21 09:30:00,2.577692467090008,2023-02-21
2023-02-21 09:45:00,1.5924237807178683,2023-02-21
2023-02-21 10:00:00,0.2854882658121792,2023-02-21
2023-02-21 10:15:00,0.5579810673141741,2023-02-21
2023-02-21 10:30:00,0.3210445483165761,2023-02-21
2023-02-21 10:45:00,0.285013608552774,2023-02-21
2023-02-21 11:00:00,0.0,2023-02-21
2023-02-21 11:15:00,0.0,2023-02-21
2023-02-21 11:30:00,0.0,2023-02-21
2023-02-21 11:45:00,0.0,2023-02-21
2023-02-21 12:00:00,0.0,2023-02-21
2023-02-21 12:15:00,0.0,2023-02-21
2023-02-21 12:30:00,0.0,2023-02-21
2023-02-21 12:45:00,0.0,2023-02-21
2023-02-21 13:00:00,0.0,2023-02-21
2023-02-21 13:15:00,0.0,2023-02-21
2023-02-21 13:30:00,0.0,2023-02-21
2023-02-21 13:45:00,0.0,2023-02-21
2023-02-21 14:00:00,0.0,2023-02-21
2023-02-21 14:15:00,0.0,2023-02-21
2023-02-21 14:30:00,0.0,2023-02-21
2023-02-21 14:45:00,0.0,2023-02-21
2023-02-21 15:00:00,0.0,2023-02-21
2023-02-21 15:15:00,0.0,2023-02-21
2023-02-21 15:30:00,0.0,2023-02-21
2023-02-21 15:45:00,0.0,2023-02-21
2023-02-21 16:00:00,0.0,2023-02-21
2023-02-21 16:15:00,0.0,2023-02-21
2023-02-21 16:30:00,0.0,2023-02-21
2023-02-21 16:45:00,0.0,2023-02-21
2023-02-21 17:00:00,0.0,2023-02-21
2023-02-21 17:15:00,0.0,2023-02-21
2023-02-21 17:30:00,0.0,2023-02-21
2023-02-21 17:45:00,0.0,2023-02-21
2023-02-21 18:00:00,0.0,2023-02-21
2023-02-21 18:15:00,0.0,2023-02-21
2023-02-21 18:30:00,0.0,2023-02-21
2023-02-21 18:45:00,0.0,2023-02-21
2023-02-21 19:00:00,0.0,2023-02-21
2023-02-21 19:15:00,0.0,2023-02-21
2023-02-21 19:30:00,0.0,2023-02-21
2023-02-21 19:45:00,0.0,2023-02-21
2023-02-21 20:00:00,0.0,2023-02-21
2023-02-21 20:15:00,0.0,2023-02-21
2023-02-21 20:30:00,0.0,2023-02-21
2023-02-21 20:45:00,0.0,2023-02-21
2023-02-21 21:00:00,0.0,2023-02-21
2023-02-21 21:15:00,0.0,2023-02-21
2023-02-21 21:30:00,0.0,2023-02-21
2023-02-21 21:45:00,0.0,2023-02-21
2023-02-21 22:00:00,0.6110652226777556,2023-02-21
2023-02-21 22:15:00,0.5977524301777025,2023-02-21
2023-02-21 22:30:00,0.548684431438963,2023-02-21
2023-02-21 22:45:00,0.3353422707698075,2023-02-21
2023-02-21 23:00:00,2.750514899244304,2023-02-21
2023-02-21 23:15:00,2.4500848720456943,2023-02-21
2023-02-21 23:30:00,2.3994928855645465,2023-02-21
2023-02-21 23:45:00,3.0432387623592887,2023-02-21
2023-02-22 00:00:00,7.4182560142969125,2023-02-21
2023-02-22 00:15:00,7.8069774215148655,2023-02-21
2023-02-22 00:30:00,7.212575987824976,2023-02-21
2023-02-22 00:45:00,5.305969517100116,2023-02-21
2023-02-22 01:00:00,10.288591509928068,2023-02-21
2023-02-22 01:15:00,11.582143444084398,2023-02-21
2023-02-22 01:30:00,10.888472801778613,2023-02-21
2023-02-22 01:45:00,8.893111478576625,2023-02-21
2023-02-22 02:00:00,12.64040852612602,2023-02-21
2023-02-22 02:15:00,13.103736523638872,2023-02-21
2023-02-22 02:30:00,10.407566784776542,2023-02-21
2023-02-22 02:45:00,14.93442677554066,2023-02-21
2023-02-22 03:00:00,17.632242525354734,2023-02-21
2023-02-22 03:15:00,16.153609825520014,2023-02-21
2023-02-22 03:30:00,17.634303694883556,2023-02-21
2023-02-22 03:45:00,15.569654585705637,2023-02-21
2023-02-22 04:00:00,12.879776503381887,2023-02-21
2023-02-22 04:15:00,16.987677458074003,2023-02-21
2023-02-22 04:30:00,15.081312640595604,2023-02-21
2023-02-22 04:45:00,11.757285567234192,2023-02-21
2023-02-22 05:00:00,11.481292019518804,2023-02-21
2023-02-22 05:15:00,17.189374282592304,2023-02-21
2023-02-22 05:30:00,18.22472860232333,2023-02-21
2023-02-22 05:45:00,13.723015962219998,2023-02-21
2023-02-22 06:00:00,14.296870431361045,2023-02-21
2023-02-22 06:15:00,11.538455928945305,2023-02-21
2023-02-22 06:30:00,11.733409188904636,2023-02-21
2023-02-22 06:45:00,11.117470860524271,2023-02-21
2023-02-22 07:00:00,7.335650657799098,2023-02-21
2023-02-22 07:15:00,6.981190832045532,2023-02-21
2023-02-22 07:30:00,9.157835247979992,2023-02-21
2023-02-22 07:45:00,8.235177545924383,2023-02-21
2023-02-22 08:00:00,3.462057782478262,2023-02-21
2023-02-22 08:15:00,4.790268343687635,2023-02-21
2023-02-22 08:30:00,5.00235055671577,2023-02-21
2023-02-22 08:45:00,4.659189222989439,2023-02-21
2023-02-22 09:00:00,0.44666194578833074,2023-02-21
2023-02-22 09:15:00,1.9904299181811183,2023-02-21
2023-02-22 09:30:00,1.2723761996244607,2023-02-21
2023-02-22 09:45:00,2.1162349179259716,2023-02-21
2023-02-22 10:00:00,0.32388945547525916,2023-02-21
2023-02-22 10:15:00,0.4144003680648811,2023-02-21
2023-02-22 10:30:00,0.5146408102662487,2023-02-21
2023-02-22 10:45:00,0.32399540008863775,2023-02-21
2023-02-22 11:00:00,0.0,2023-02-21
2023-02-22 11:15:00,0.0,2023-02-21
2023-02-22 11:30:00,0.0,2023-02-21
2023-02-22 11:45:00,0.0,2023-02-21
2023-02-22 12:00:00,0.0,2023-02-21
2023-02-22 12:15:00,0.0,2023-02-21
2023-02-22 12:30:00,0.0,2023-02-21
2023-02-22 12:45:00,0.0,2023-02-21
2023-02-22 13:00:00,0.0,2023-02-21
2023-02-22 13:15:00,0.0,2023-02-21
2023-02-22 13:30:00,0.0,2023-02-21
2023-02-22 13:45:00,0.0,2023-02-21
2023-02-22 14:00:00,0.0,2023-02-21
2023-02-22 14:15:00,0.0,2023-02-21
2023-02-22 14:30:00,0.0,2023-02-21
2023-02-22 14:45:00,0.0,2023-02-21
2023-02-22 15:00:00,0.0,2023-02-21
2023-02-22 15:15:00,0.0,2023-02-21
