起报时间,预报时间,实际功率 (MW),station05 预测功率 (MW)
2023/02/21/00:00,2023/02/22/02:00,0,20.40001418089548
2023/02/21/00:00,2023/02/22/02:15,0,13.088499997679484
2023/02/21/00:00,2023/02/22/02:30,0,23.27254688933133
2023/02/21/00:00,2023/02/22/02:45,0,21.163339823912008
2023/02/21/00:00,2023/02/22/03:00,0,26.139746581678796
2023/02/21/00:00,2023/02/22/03:15,0,18.631643105079533
2023/02/21/00:00,2023/02/22/03:30,0,22.41637037386768
2023/02/21/00:00,2023/02/22/03:45,0,22.30904796938852
2023/02/21/00:00,2023/02/22/04:00,0,23.78386442652373
2023/02/21/00:00,2023/02/22/04:15,0,22.048781851409256
2023/02/21/00:00,2023/02/22/04:30,0,16.794757548768207
2023/02/21/00:00,2023/02/22/04:45,0,19.274796448007905
2023/02/21/00:00,2023/02/22/05:00,0,15.861370039807198
2023/02/21/00:00,2023/02/22/05:15,0,16.499453621794594
2023/02/21/00:00,2023/02/22/05:30,0,18.456929440905174
2023/02/21/00:00,2023/02/22/05:45,0,16.832741719590622
2023/02/21/00:00,2023/02/22/06:00,0,15.521694242480145
2023/02/21/00:00,2023/02/22/06:15,0,18.82115678462079
2023/02/21/00:00,2023/02/22/06:30,0,19.62609120968804
2023/02/21/00:00,2023/02/22/06:45,0,15.122456931912826
2023/02/21/00:00,2023/02/22/07:00,0,16.188484480654367
2023/02/21/00:00,2023/02/22/07:15,0,16.006828295113728
2023/02/21/00:00,2023/02/22/07:30,0,16.89098409897237
2023/02/21/00:00,2023/02/22/07:45,0,14.67242571226548
2023/02/21/00:00,2023/02/22/08:00,0,3.565800571168763
2023/02/21/00:00,2023/02/22/08:15,0,9.93046129452615
2023/02/21/00:00,2023/02/22/08:30,0,3.534213816809106
2023/02/21/00:00,2023/02/22/08:45,0,9.856426380069426
2023/02/21/00:00,2023/02/22/09:00,0,3.189971189971501
2023/02/21/00:00,2023/02/22/09:15,0,3.342406504208123
2023/02/21/00:00,2023/02/22/09:30,0,4.110631288127415
2023/02/21/00:00,2023/02/22/09:45,0,4.630144012298093
2023/02/21/00:00,2023/02/22/10:00,0,1.268179864987253
2023/02/21/00:00,2023/02/22/10:15,0,1.0661109459263316
2023/02/21/00:00,2023/02/22/10:30,0,1.039811264447946
2023/02/21/00:00,2023/02/22/10:45,0,0.5433536084949011
2023/02/21/00:00,2023/02/22/11:00,0,0.0
2023/02/21/00:00,2023/02/22/11:15,0,0.0
2023/02/21/00:00,2023/02/22/11:30,0,0.0
2023/02/21/00:00,2023/02/22/11:45,0,0.0
2023/02/21/00:00,2023/02/22/12:00,0,0.0
2023/02/21/00:00,2023/02/22/12:15,0,0.0
2023/02/21/00:00,2023/02/22/12:30,0,0.0
2023/02/21/00:00,2023/02/22/12:45,0,0.0
2023/02/21/00:00,2023/02/22/13:00,0,0.0
2023/02/21/00:00,2023/02/22/13:15,0,0.0
2023/02/21/00:00,2023/02/22/13:30,0,0.0
2023/02/21/00:00,2023/02/22/13:45,0,0.0
2023/02/21/00:00,2023/02/22/14:00,0,0.0
2023/02/21/00:00,2023/02/22/14:15,0,0.0
2023/02/21/00:00,2023/02/22/14:30,0,0.0
2023/02/21/00:00,2023/02/22/14:45,0,0.0
2023/02/21/00:00,2023/02/22/15:00,0,0.0
2023/02/21/00:00,2023/02/22/15:15,0,0.0
2023/02/21/00:00,2023/02/22/15:30,0,0.0
2023/02/21/00:00,2023/02/22/15:45,0,0.0
2023/02/21/00:00,2023/02/22/16:00,0,0.0
2023/02/21/00:00,2023/02/22/16:15,0,0.0
2023/02/21/00:00,2023/02/22/16:30,0,0.0
2023/02/21/00:00,2023/02/22/16:45,0,0.0
2023/02/21/00:00,2023/02/22/17:00,0,0.0
2023/02/21/00:00,2023/02/22/17:15,0,0.0
2023/02/21/00:00,2023/02/22/17:30,0,0.0
2023/02/21/00:00,2023/02/22/17:45,0,0.0
2023/02/21/00:00,2023/02/22/18:00,0,0.0
2023/02/21/00:00,2023/02/22/18:15,0,0.0
2023/02/21/00:00,2023/02/22/18:30,0,0.0
2023/02/21/00:00,2023/02/22/18:45,0,0.0
2023/02/21/00:00,2023/02/22/19:00,0,0.0
2023/02/21/00:00,2023/02/22/19:15,0,0.0
2023/02/21/00:00,2023/02/22/19:30,0,0.0
2023/02/21/00:00,2023/02/22/19:45,0,0.0
2023/02/21/00:00,2023/02/22/20:00,0,0.0
2023/02/21/00:00,2023/02/22/20:15,0,0.0
2023/02/21/00:00,2023/02/22/20:30,0,0.0
2023/02/21/00:00,2023/02/22/20:45,0,0.0
2023/02/21/00:00,2023/02/22/21:00,0,0.0
2023/02/21/00:00,2023/02/22/21:15,0,0.0
2023/02/21/00:00,2023/02/22/21:30,0,0.0
2023/02/21/00:00,2023/02/22/21:45,0,0.0
2023/02/21/00:00,2023/02/22/22:00,0,0.7236258004610081
2023/02/21/00:00,2023/02/22/22:15,0,1.0693563739767626
2023/02/21/00:00,2023/02/22/22:30,0,1.0876103900359495
2023/02/21/00:00,2023/02/22/22:45,0,1.0516394309366075
2023/02/21/00:00,2023/02/22/23:00,0,3.850781017394619
2023/02/21/00:00,2023/02/22/23:15,0,3.53605966039885
2023/02/21/00:00,2023/02/22/23:30,0,3.8419169995522098
2023/02/21/00:00,2023/02/22/23:45,0,3.8173685187597206
2023/02/21/00:00,2023/02/23/00:00,0,9.5167570387807
2023/02/21/00:00,2023/02/23/00:15,0,3.2877378464069724
2023/02/21/00:00,2023/02/23/00:30,0,9.836236129230024
2023/02/21/00:00,2023/02/23/00:45,0,3.4601696779374302
2023/02/21/00:00,2023/02/23/01:00,0,14.327332128035511
2023/02/21/00:00,2023/02/23/01:15,0,13.370321696324645
2023/02/21/00:00,2023/02/23/01:30,0,12.407503045820468
2023/02/21/00:00,2023/02/23/01:45,0,17.500372929619562
2023/02/21/00:00,2023/02/23/02:00,0,15.68677694348994
2023/02/21/00:00,2023/02/23/02:15,0,15.836081513840735
2023/02/21/00:00,2023/02/23/02:30,0,17.465143751613294
2023/02/21/00:00,2023/02/23/02:45,0,20.46121012166818
2023/02/21/00:00,2023/02/23/03:00,0,19.340627512252624
2023/02/21/00:00,2023/02/23/03:15,0,23.11983745410105
2023/02/21/00:00,2023/02/23/03:30,0,24.48937528376413
