,RMSE,MAE,ME,Correlation,Accuracy,Qualification_Rate,Sample_Count
basic,0.28964338095049885,0.16852469804219314,-0.1636376640318984,0.3576555582949936,71.03566190495012,71.40255009107467,549.0
nwp_enhanced,0.31234552952231365,0.19619360622466037,-0.19106180134786965,0.3172395097331414,68.76544704776863,66.73728813559322,472.0
nwp_only,0.32275377952993517,0.2133142348733223,-0.20697497305991008,0.2759089203668048,67.72462204700649,64.07982261640798,451.0
random_forest,0.3423705166583417,0.23609453271018824,-0.227323400557187,0.24328029717706845,65.76294833416583,60.05089058524173,393.0
